A,B,C,D,E,AD,DE,LD,FS,SUSP, opprundifferential,winner,winner1,CLASS
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,42,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,56,0,0,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,58,1,1,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,16,0,0,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,24,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,68,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,70,0,0,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,75,1,1,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,?,0,0,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,39,1,1,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,50,0,0,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,64,1,1,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,70,1,1,7
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,54,0,0,7
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,?,0,0,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,0,0,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,1,1,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,?,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,63,1,1,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,0,0,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,1,1,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,49,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,29,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,40,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,36,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,26,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,66,0,0,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,1,1,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,15,1,1,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,1,1,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,37,1,1,2
-1,-1,1,-1,-1,-1,-1,-1,-1,-1,20,1,1,3
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,75,1,1,2
-1,-1,1,-1,-1,-1,-1,-1,-1,-1,64,0,0,3
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,22,1,1,2
-1,-1,1,-1,-1,-1,-1,-1,-1,-1,47,0,0,3
-1,-1,1,-1,-1,-1,-1,-1,-1,-1,33,1,1,3
-1,-1,1,-1,-1,-1,-1,-1,-1,-1,72,0,0,3
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,56,0,0,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,50,1,1,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,101,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52,1,1,1
-1,-1,1,-1,-1,-1,-1,-1,-1,-1,55,1,1,3
-1,-1,1,-1,-1,-1,-1,-1,-1,-1,42,1,1,3
-1,-1,1,-1,-1,-1,-1,-1,-1,-1,41,1,1,3
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,0,0,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,0,0,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,1,1,1
-1,-1,1,-1,-1,-1,-1,-1,-1,-1,?,0,0,3
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,59,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,40,0,0,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52,0,0,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,53,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,58,0,0,2
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,43,0,0,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,59,0,0,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,65,1,1,7
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,71,1,1,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,48,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,?,0,0,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,76,1,1,7
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,89,0,0,7
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61,0,0,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,0,0,1
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,28,1,1,7
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,62,0,0,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,?,?,?,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,23,1,1,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,36,1,1,7
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,49,1,1,7
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,57,0,0,7
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,42,1,1,7
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,28,0,0,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,40,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,?,1,1,6
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,44,1,1,2
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,7,1,1,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,61,0,0,7
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,48,0,0,7
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,49,1,1,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,?,1,1,6
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,57,1,1,2
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,31,1,1,6
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,?,1,1,4
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,40,1,1,4
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,?,1,1,4
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,65,1,1,4
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,33,0,0,4
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,41,0,0,4
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,59,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,60,1,1,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,1,1,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,49,1,1,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99,0,0,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,1,1,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,73,1,1,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,1,1,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,80,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,48,0,0,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,1,1,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,84,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,31,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,51,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,71,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,38,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,58,1,1,2
-1,-1,1,-1,-1,-1,-1,-1,-1,-1,62,0,0,3
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,85,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,1,1,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,79,1,1,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,0,0,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,0,0,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,46,1,1,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,73,?,?,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,?,1,1,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,0,0,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,61,0,0,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,46,?,?,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,51,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,36,1,1,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,?,?,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,1,1,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,38,0,0,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,?,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,50,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,63,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,33,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,47,1,1,2
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,31,1,1,10
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,38,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,56,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,?,0,0,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61,1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,45,0,0,10
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,36,1,1,10
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,96,1,1,10
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,43,0,0,10
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,45,1,1,10
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52,0,0,1
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,50,1,1,7
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,0,0,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,42,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,87,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,38,1,1,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,0,0,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,0,0,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1,1,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,69,0,0,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,1,1,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,51,0,0,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,1,1,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,20,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,48,?,?,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,52,1,1,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,0,0,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,52,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,27,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,42,1,1,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,1,1,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,49,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,69,0,0,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,53,0,0,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,0,0,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,41,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,99,0,0,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,64,?,?,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,42,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,87,0,0,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,1,1,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,50,0,0,2
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,35,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,83,0,0,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,53,0,0,6
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,0,0,1
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,64,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,72,1,1,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,31,1,1,7
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,25,1,1,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,68,0,0,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,30,1,1,6
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,54,1,1,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,0,0,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,50,0,0,2
-1,-1,1,-1,-1,-1,-1,-1,-1,-1,47,0,0,3
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,?,?,1
-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-8,1,1,3
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,1,1,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,7,?,?,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,73,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,79,0,0,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,75,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,47,1,1,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,0,0,1
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,29,1,1,6
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,16,1,1,2
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,64,0,0,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,?,1,1,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,58,1,1,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,30,0,0,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,49,1,1,6
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,0,0,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,37,1,1,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,1,1,1
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,70,0,0,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,97,0,0,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,39,1,1,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,68,1,1,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,26,1,1,6
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,46,0,0,2
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,78,1,1,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,45,0,0,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,48,0,0,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,74,0,0,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,69,0,0,6
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,22,0,0,4
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,48,0,0,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,60,0,0,7
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,13,0,0,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,60,1,1,2
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,75,0,0,7
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,55,0,0,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,8,1,1,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,38,1,1,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,61,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,44,0,0,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,25,0,0,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,54,1,1,6
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,63,1,1,2
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,90,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,37,0,0,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,24,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,70,1,1,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,47,0,0,7
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,37,0,0,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,62,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,53,0,0,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,45,1,1,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,62,1,1,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,19,1,1,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,?,0,0,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,57,0,0,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,31,1,1,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,38,0,0,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-6,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,28,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,44,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,?,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,48,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,13,1,1,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,19,1,1,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,32,0,0,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,43,0,0,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,43,0,0,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,106,0,0,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,61,0,0,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,68,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,28,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,52,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,46,1,1,6
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,44,0,0,2
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,36,0,0,6
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,67,0,0,8
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,56,1,1,8
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,40,0,0,8
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,43,1,1,8
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,44,0,0,7
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,39,1,1,7
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,49,1,1,7
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,?,?,1
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,53,0,0,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,55,1,1,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,42,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,59,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,56,1,1,6
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,56,1,1,2
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,17,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,23,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,?,0,0,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,75,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,19,1,1,6
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,1,1,1
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,?,0,0,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,35,1,1,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,45,0,0,7
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,55,1,1,7
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,47,1,1,10
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,64,1,1,10
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,25,0,0,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,44,1,1,2
